title,bibtex,year,wearability,presentation_mode,deployment_context,form_factor,target_body_area,stimulation_scope,stimulus_type,actuator_type,audio-tactile_mapping,purpose,audio_device,accessibility_focus,connectivity,application_domain
Wearable Haptic Music Player with Multi-Feature Extraction Using Spectral Flux and Yin Algorithms,alcuitas2025wearable,2025,yes,recorded,personal_use,glove,hand,single,displacement,piezo,ad-hoc_composition,music_enrichment,either,no,wireless,real_world
An artistic audiotactile installation for augmented music,marozeau2023artistic,2023,no,recorded,installation,chair and ad_hoc_formats,whole_body,multiple,vibration,voice_coil,ad-hoc_composition,music_enrichment,none,no,standalone,real_world
Effect Of Audio-Tactile Congruence on Vibrotactile Music Enhancement,aker2022effect,2022,no,recorded,personal_use,ad_hoc_form_factor,fingertip,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Electro-tactile stimulation enhances cochlear-implant melody recognition: effects of rhythm and musical training,huang2020electro,2020,no,recorded,personal_use,ad_hoc_form_factor,fingertip,single,vibration,voice_coil,direct_translation,sensory_substitution,loudspeakers,DHH,wired,real_world
Tactile displays for auditory augmentation–A scoping review and reflections on music applications for hearing impaired users,paisa2023tactile,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DHH,NA,review_paper
Exposure to vibrotactile music improves audiometric performances in individuals with cochlear implants,turchet2025exposure,2025,yes,recorded,personal_use,vest,upper_body,multiple,vibration,voice_coil,direct_translation,therapeutic,headphones,DHH,wired,clinical
Enhancing Pitch Perception and Melodic Reproduction of Hard-of-Hearing Individuals Using a Vibrotactile Glove,shin2025enhancing,2025,yes,recorded,personal_use,glove,hand,single,vibration,ERMs,ad-hoc_composition,sensory_substitution,headphones,DHH,wireless,perceptual_study
Enhanced pitch discrimination for cochlear implant users with a new haptic neuroprosthetic,fletcher2020enhanced,2020,yes,recorded,personal_use,sleeve,forearm,single,vibration,ERMs,ad-hoc_composition,sensory_substitution,headphones,DHH,wired,perceptual_study
The deaf musical experience: Bodily and visual specificities: Corpaurality and vusicality,breteche2019deaf,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DHH,NA,theoretical_paper
A multi-channel vibrotactile speaker system for a more equally shared musical experience between the deaf and the hearing individuals,briceno2024multi,2024,no,recorded,personal_use,ad_hoc_form_factor,hand,single,vibration,voice_coil,direct_translation,sensory_substitution,none,DHH,wired,real_world
Auris system: Providing vibrotactile feedback for hearing impaired population.,alves2017auris,2017,both,recorded,personal_use,"chair, armband","whole_body, arms",multiple,vibration,"combination (speakers, subwoofer and ERMS)",both,sensory_substitution,none,DHH,wired,real_world
Perception and learning of relative pitch by musicians using the vibrotactile mode,hopkins2023perception,2023,no,recorded,personal_use,ad_hoc_form_factor,"fingertip, forefoot",multiple,vibration,contact_speaker,direct_translation,sensory_substitution,none,DHH,wired,perceptual_study
Vibrotactile stimulation based on the fundamental frequency can improve melodic contour identification of normal-hearing listeners with a 4-channel cochlear implant simulation,luo2019vibrotactile,2019,yes,recorded,personal_use,bracelet,wrist,single,vibration,ERMs,direct_translation,sensory_substitution,headphones,DHH,wireless,perceptual_study
Rhythm processing in cochlear implant− mediated music perception,jiam2019rhythm,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DHH,NA,review_paper
Haptic vibrations for hearing impaired to experience aspects of live music,deguglielmo2021haptic,2021,yes,live,performance,headband,head,multiple,vibration,LRAs,direct_translation,sensory_substitution,loudspeakers,DHH,standalone,real_world
Vibgrip++: haptic device allows feeling the music for hearing impaired people.,kanebako2016vibgrip++,2016,no,interactive,personal_use,ad_hoc_form_factor,fingertip,single,vibration,piezo,direct_translation,sensory_substitution,headphones,DHH,wired,real_world
The influence of rhythm on detection of auditory and vibrotactile asynchrony,lauzon2020influence,2020,no,recorded,installation,chair,back,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Judged consonance of tactile and auditory frequencies,okazaki2013judged,2013,no,recorded,personal_use,ad_hoc_form_factor,,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Vibrotactile stimulation can aﬀect auditory loudness: a pilot study,okazaki2012vibrotactile,2012,no,recorded,personal_use,box,hands,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Tactile tone system: a wearable device to assist accuracy of vocal pitch in cochlear implant user,shin2020tactile,2020,yes,live,personal_use,glove,hand,single,vibration,ERMs,ad-hoc_composition,sensory_substitution,loudspeakers,DHH,standalone,real_world
Exploring melodic variance in rhythmic haptic stimulus design,swerdfeger2009exploring,2009,no,recorded,personal_use,tablet,hand,single,vibration,piezo,ad-hoc_composition,music_enrichment,loudspeakers,no,standalone,perceptual_study
Haptics in music: the eﬀects of vibrotactile stimulus in low frequency auditory diﬀerence detection tasks.,young2016haptics,2016,yes,recorded,personal_use,glove,hand,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Touching the audience: musical haptic wearables for augmented and participatory live music performances,turchet2021touching,2021,yes,live,performance,vest,upper_body,multiple,vibration,ERMs,ad-hoc_composition,music_enrichment,loudspeakers,no,wireless,real_world
"Real-Time Musical Haptics With Ultra-Wideband: A Study on Latency, Reliability, and Perception",turchet2025real,2025,yes,live,performance,vest,upper_body,multiple,vibration,voice_coil,direct_translation,music_enrichment,loudspeakers,no,wireless,real_world
Interactive IoMusT-Based Concerts: Real-Time Pattern Recognition and Audience Experience,silva2025interactive,2025,yes,live,performance,vest,upper_body,multiple,vibration,voice_coil,ad-hoc_composition,music_enrichment,loudspeakers,no,wireless,MR
Hearing loss prevention at loud music events via real-time visuo-haptic feedback,turchet2024hearing,2024,yes,live,performance,bracelet,wrist,single,vibration,ERMs,NA,other,loudspeakers,no,wireless,real_world
Psychophysical comparison of the auditory and tactile perception: A survey,merchel2020psychophysical,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,review_paper
Rhythm perception is shared between audio and haptics,bernard2022rhythm,2022,no,recorded,personal_use,ad_hoc_form_factor,fingertip,single,vibration,ultrasounds,ad-hoc_composition,music_enrichment,none,no,wired,perceptual_study
Evidence of beat perception via purely tactile stimulation,brochard2008evidence,2008,no,recorded,personal_use,ad_hoc_form_factor,hand,single,vibration,NA,NA,NA,none,no,wired,perceptual_study
Tactile enhancement of auditory detection and perceived loudness,gillmeister2007tactile,2007,no,recorded,personal_use,ad_hoc_form_factor,fingertip,single,vibration,solenoid,direct_translation,music_enrichment,loudspeakers,no,wired,perceptual_study
Feeling music: Integration of auditory and tactile inputs in musical meter perception,huang2012feeling,2012,no,recorded,personal_use,ad_hoc_form_factor,fingertip,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Designing the model human cochlea: An ambient crossmodal audio-tactile display,karam2009designing,2009,no,recorded,installation,chair,back,multiple,vibration,voice_coil,direct_translation,sensory_substitution,none,DHH,wired,real_world
Hands help hearing: Facilitatory audiotactile interaction at low sound-intensity levels,schurmann2004hands,2004,no,recorded,personal_use,tube,hand,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Improved tactile frequency discrimination in musicians,sharp2019improved,2019,yes,recorded,personal_use,glove,hand,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
The effect of whole-body vibration on preferred bass equalization in automotive audio systems,simon2009effect,2009,no,recorded,personal_use,chair,whole_body,multiple,vibration,contact_speaker,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Whole-Body Vibration Associated with Low-Frequency Audio Reproduction Influences Preferred Bass Equalization,martens2009whole,2009,no,recorded,personal_use,chair,whole_body,multiple,vibration,contact_speaker,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Integration of auditory and vibrotactile stimuli: Effects of phase and stimulus-onset asynchrony,wilson2009integration,2009,no,recorded,personal_use,ad_hoc_form_factor,fingertip,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Integration of auditory and vibrotactile stimuli: Effects of frequency,wilson2010integration,2010,no,recorded,personal_use,ad_hoc_form_factor,fingertip,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Separate mechanisms for audio-tactile pitch and loudness interactions,yau2010separate,2010,no,recorded,personal_use,ad_hoc_form_factor,fingertip,single,vibration,contact_speaker,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
"Vibrotactile Presentation of Musical Notes to the Glabrous Skin for Adults with Normal Hearing or a Hearing Impairment: Thresholds, Dynamic Range and High- Frequency Perception",hopkins2016vibrotactile,2016,no,recorded,personal_use,ad_hoc_form_factor,"fingertip, forefoot, heel",multiple,vibration,contact_speaker,direct_translation,sensory_substitution,none,DHH,wired,perceptual_study
Auditory and Tactile Perception of Musical Intervals: A Pilot Study,deiana2025auditory,2025,no,recorded,personal_use,ad_hoc_form_factor,fingertip,multiple,vibration,contact_speaker,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Feeling the beat: Bouncing synchronization to vibrotactile music in hearing and early deaf people,tranchant2017feeling,2017,no,recorded,performance,floor,vertical_whole_body,single,vibration,contact_speaker,direct_translation,sensory_substitution,none,DHH,wired,perceptual_study
Synchronizing to auditory and tactile metronomes: a test of the auditory-motor enhancement hypothesis.,ammirante2016synchronizing,2016,no,recorded,personal_use,chair,back,multiple,vibration,voice_coil,direct_translation,music_enrichment,none,no,wired,perceptual_study
Consonance of vibrotactile chords,yoo2013consonance,2013,no,recorded,personal_use,ad_hoc_form_factor,hand,single,vibration,contact_speaker,direct_translation,music_enrichment,none,no,wired,perceptual_study
An exploration on whole-body and foot-based vibrotactile sensi- tivity to melodic consonance,fontana2016exploration,2016,no,recorded,personal_use,chair and footrest,whole_body,multiple,vibration,contact_speaker,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Development and validation of a sensory-substitution technology for music,branje2009development,2009,no,recorded,personal_use,chair,back,multiple,vibration,voice_coil,direct_translation,sensory_substitution,loudspeakers,DHH,wired,real_world
Wearable musical haptic sleeves for people with hearing impairment,trivedi2019wearable,2019,yes,recorded,personal_use,sleeve,legs,multiple,vibration,voice_coil,direct_translation,sensory_substitution,loudspeakers,DHH,wired,real_world
A Way for Deaf and Hard of Hearing People to Enjoy Music by Exploring and Customizing Cross-modal Music Concepts,choi2024way,2024,yes,recorded,personal_use,armband,forearm,multiple,vibration,ERMs,direct_translation,sensory_substitution,none,DHH,wired,real_world
An enhanced musical experience for the deaf: design and evaluation of a music display and a haptic chair,nanayakkara2009enhanced,2009,no,recorded,personal_use,chair,whole_body,multiple,vibration,contact_speaker,direct_translation,sensory_substitution,none,DHH,wired,real_world
Composing vibrotactile music: A multi-sensory experience with the emoti-chair,baijal2012composing,2012,no,recorded,installation,chair,back,multiple,vibration,voice_coil,direct_translation,sensory_substitution,loudspeakers,DHH,wired,real_world
The importance of the haptic feedback in musical practice-Can a pianist distinguish a Steinway through listening?,altinsoy2016importance,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,theoretical_paper
Vibrotactile Perception of Consonant and Dissonant Musical Intervals,garcia2025vibrotactile,2025,no,recorded,personal_use,box,fingertip,single,vibration,contact_speaker,direct_translation,music_enrichment,none,no,wired,perceptual_study
Vibrotactile teddy bear: enhancing musical experiences for children with cochlear nerve deficiency through a vibrotactile soft toy,ganis2025vibrotactile,2025,no,recorded,personal_use,ad_hoc_form_factor,hand,single,vibration,voice_coil,direct_translation,sensory_substitution,loudspeakers,DHH,standalone,real_world
Enhancing musical experience for the hearing-impaired using visual and haptic displays,nanayakkara2013enhancing,2013,no,recorded,personal_use,chair,whole_body,multiple,vibration,contact_speaker,direct_translation,sensory_substitution,none,DHH,wired,real_world
“Waves Push Me to Slumberland”: Reducing Pre-Sleep Stress through Spatio-Temporal Tactile Displaying of Music,zhang2024waves,2024,no,recorded,personal_use,mattress,whole_body,multiple,vibration,contact_speaker,ad-hoc_composition,therapeutic,headphones,no,wired,real_world
Affective Evaluation While Listening to Music with Vibrations to the Body,yamazaki2018affective,2018,yes,recorded,personal_use,necklace,"chest, neck",multiple,vibration,ERMs,ad-hoc_composition,music_enrichment,headphones,no,wireless,real_world
An Initial Usability Assessment for Symbolic Haptic Rendering of Music Parameters,allen2005initial,2005,no,recorded,personal_use,knob,hand,single,force and vibration,servo_motor,direct_translation,music_enrichment,none,no,wired,real_world
Distilling the Underlying Dimensions of Tactile Melodies,van2003distilling,2003,no,recorded,personal_use,ad_hoc_form_factor,fingertip,single,vibration,contact_speaker,direct_translation,music_enrichment,none,no,wired,perceptual_study
An Interactive Musical Scale Presentation System via Tactile Sense through Haptic Actuator,nakada2018interactive,2018,no,recorded,personal_use,ad_hoc_form_factor,hand,single,vibration,voice_coil,direct_translation,music_enrichment,none,no,wired,perceptual_study
The Effect of Frequency Shifting on Audio-Tactile Conversion for Enriching Musical Experience,okazaki2015effect,2015,no,recorded,personal_use,touchscreen,hand,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Vibrotactile discrimination of musical timbre,russo2012vibrotactile,2012,no,recorded,personal_use,chair,back,multiple,vibration,voice_coil,direct_translation,music_enrichment,none,no,wired,perceptual_study
Tactile Identification of Non-Percussive Music Instruments,merchel2011tactile,2011,no,recorded,personal_use,touchscreen,fingertip,single,vibration,contact_speaker,direct_translation,music_enrichment,none,no,wired,perceptual_study
Touch the Sound: Audio-Driven Tactile Feedback for Audio Mixing Applications,merchel2012touch,2012,no,recorded,personal_use,touchscreen,fingertip,single,vibration,contact_speaker,direct_translation,music_enrichment,none,no,wired,perceptual_study
Hearing with your Body: The Influence of Whole-Body Vibrations on Loudness Perception,merchel2009hearing,2009,no,recorded,personal_use,chair,vertical_whole_body,multiple,vibration,electrodynamic_shaker,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Effects of vibrotactile-enhanced music-based intervention on sensorimotor control capacity in the hand of an aging brain: a pilot feasibility randomized crossover trial,hsu2021effects,2021,yes,recorded,personal_use,glove,hand,single,vibration,ERMs,direct_translation,therapeutic,loudspeakers,no,wired,perceptual_study
Feel the Bass: Music Presented to Tactile and Auditory Modalities Increases Aesthetic Appreciation and Body Movement,hove2020feel,2020,yes,recorded,personal_use,backpack,back,single,vibration,bass_shaker,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Haptic Display of Melodic Intervals for Musical Applications,egloff2018haptic,2018,no,recorded,performance,ad_hoc_form_factor,"fingertip, flank",multiple,vibration,voice_coil,direct_translation,music_enrichment,none,no,wired,perceptual_study
Audiotactile simultaneity perception of musical-produced whole-body vibrations,daub2004audiotactile,2004,no,recorded,personal_use,chair,whole_body,multiple,vibration,contact_speaker,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Auditory clicks elicit equivalent temporal frequency perception to tactile pulses: A cross-modal psychophysical study,sharma2022auditory,2022,no,recorded,personal_use,pad,fingertip,single,vibration,contact_speaker,direct_translation,music_enrichment,none,no,wired,perceptual_study
Perception of Simultaneity and Detection of Asynchrony between Audio and Structural Vibration in Multimodal Music Reproduction,kim2006perception,2006,no,recorded,personal_use,floor,vertical_whole_body,multiple,vibration,servo_motor,direct_translation,music_enrichment,loudspeakers,no,wired,perceptual_study
Perceptual aspects of auditory-tactile asynchrony,altinsoy2003perceptual,2003,no,recorded,personal_use,ad_hoc_form_factor,fingertip,single,vibration,contact_speaker,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Designing the balance between sound and touch: methods for multimodal composition,richards2022designing,2022,yes,recorded,personal_use,vest,"torso (spine, clavicles, ribs)",multiple,vibration,voice_coil,both,music_enrichment,none,no,wired,real_world
Musicians Show Better Auditory and Tactile Identification of Emotions in Music,sharp2019musicians,2019,yes,recorded,personal_use,glove,hand,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Skin Cold Stimulation Can Modulate the Perceptual Rating of Musical Chords,ishikawa2023skin,2023,no,recorded,personal_use,ad_hoc_form_factor,neck,single,thermal,thermal_device,NA,NA,headphones,no,wired,perceptual_study
ThermOn: Thermo-musical interface for an enhanced emotional experience,akiyama2013thermon,2013,yes,recorded,personal_use,ad_hoc_form_factor,ear,single,thermal,thermal_device,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
The thermal feedback influencer: Wearable thermal display for enhancing the experience of music listening,ishikawa2018thermal,2018,yes,recorded,personal_use,ad_hoc_form_factor,ear,single,thermal,thermal_device,ad-hoc_composition,music_enrichment,headphones,no,wired,perceptual_study
Thermal Music: Exploring Sensation of Temperature as a Performance Parameter,snyder2024thermal,2024,no,live,performance,ad_hoc_form_factor,whole_body,multiple,thermal,thermal_device,direct_translation,music_enrichment,loudspeakers,no,wired,real_world
The influence of vibrations on musical experience,merchel2014influence,2014,no,recorded,personal_use,chair,vertical_whole_body,multiple,vibration,electrodynamic_shaker,direct_translation,music_enrichment,loudspeakers,no,wired,real_world
